Player,MIN,PTS,FGM,FGA,F3GM,F3GA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK
Aaron Gordon,33.8,16.0,6.0,13.4,1.6,4.4,2.4,3.2,1.7,5.7,7.4,3.7,2.1,0.7,2.2
Aaron Holiday,12.9,5.9,2.1,5.2,0.9,2.5,0.8,1.0,0.1,1.2,1.3,1.7,0.8,0.3,1.4
Abdel Nader,11.4,4.0,1.5,3.5,0.5,1.6,0.4,0.6,0.2,1.7,1.9,0.3,0.4,0.2,1.1
Al Horford,29.0,13.6,5.7,10.6,1.1,3.0,1.1,1.4,1.8,5.0,6.7,4.2,1.5,1.3,1.9
Al-Farouq Aminu,28.3,9.4,3.2,7.3,1.2,3.5,1.9,2.1,1.4,6.1,7.5,1.3,0.9,0.4,1.8
Alan Williams,5.1,3.6,1.6,2.6,0.0,0.2,0.4,0.8,0.8,3.0,3.8,0.6,0.2,0.0,0.4
Alec Burks,21.5,8.8,3.0,7.4,1.0,2.6,1.8,2.2,0.5,3.2,3.7,2.0,1.0,0.3,1.4
Alex Abrines,19.0,5.3,1.8,5.1,1.3,4.1,0.4,0.4,0.2,1.4,1.5,0.6,0.5,0.2,1.7
Alex Caruso,21.2,9.2,3.1,6.9,1.0,2.0,2.0,2.6,0.8,1.9,2.7,3.1,1.7,0.4,2.2
Alex Len,20.1,11.1,4.2,8.4,1.0,2.6,1.8,2.8,2.1,3.5,5.5,1.1,1.3,0.9,2.6
Alex Poythress,14.5,5.1,1.9,3.9,0.4,1.1,0.9,1.4,1.4,2.2,3.6,0.8,0.6,0.5,2.2
Alfonzo McKinnie,13.9,4.7,1.9,3.8,0.6,1.6,0.4,0.7,1.1,2.3,3.4,0.4,0.4,0.2,1.9
Alize Johnson,4.6,0.9,0.3,1.1,0.1,0.1,0.3,0.6,0.3,1.1,1.4,0.1,0.0,0.2,0.5
Allen Crabbe,26.4,9.6,3.2,8.7,2.3,6.0,1.0,1.3,0.4,3.1,3.4,1.1,1.1,0.3,2.4
Allonzo Trier,22.8,10.9,3.6,8.1,0.8,2.1,2.8,3.5,0.5,2.6,3.1,1.9,1.8,0.2,1.8
Amile Jefferson,5.7,2.3,0.8,1.3,0.0,0.0,0.6,0.7,0.5,1.3,1.8,0.3,0.1,0.3,0.7
Amir Johnson,10.4,3.9,1.5,3.1,0.2,0.8,0.6,0.8,0.9,2.0,2.9,1.2,0.9,0.3,1.9
Andre Drummond,33.5,17.3,7.1,13.3,0.1,0.5,3.1,5.2,5.4,10.2,15.6,1.4,2.2,1.7,3.4
Andre Iguodala,23.2,5.7,2.2,4.4,0.7,2.1,0.6,1.0,0.7,3.0,3.7,3.2,0.8,0.8,1.4
