Player,MIN,PTS,FGM,FGA,F3GM,F3GA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK
AJ Hammons,7.4,2.2,0.8,1.9,0.2,0.5,0.4,0.9,0.4,1.3,1.6,0.2,0.5,0.6,1.0
Aaron Brooks,13.7,5.0,1.9,4.6,0.7,2.0,0.5,0.6,0.3,0.8,1.1,1.9,1.0,0.1,1.4
Aaron Gordon,28.7,12.7,4.9,10.8,1.0,3.3,2.0,2.7,1.5,3.6,5.1,1.9,1.1,0.5,2.2
Aaron Harrison,3.3,0.2,0.0,0.8,0.0,0.4,0.2,0.4,0.0,0.6,0.6,0.6,0.0,0.0,0.4
Adreian Payne,7.5,3.5,1.3,3.0,0.2,0.8,0.8,1.1,0.5,1.3,1.8,0.4,0.4,0.4,1.8
Al Horford,32.3,14.0,5.6,11.8,1.3,3.6,1.6,2.0,1.4,5.4,6.8,5.0,1.7,1.3,2.0
Al Jefferson,14.1,8.1,3.6,7.1,0.0,0.0,1.0,1.3,1.1,3.1,4.2,0.9,0.5,0.2,1.9
Al-Farouq Aminu,29.1,8.7,3.0,7.6,1.1,3.5,1.6,2.2,1.3,6.1,7.4,1.6,1.5,0.7,1.7
Alan Anderson,10.3,2.9,1.0,2.7,0.5,1.5,0.4,0.5,0.1,0.7,0.8,0.4,0.2,0.0,1.2
Alan Williams,15.1,7.4,2.9,5.7,0.0,0.0,1.5,2.4,2.0,4.2,6.2,0.5,0.8,0.7,2.7
Alec Burks,15.5,6.7,2.4,5.9,0.6,1.8,1.4,1.9,0.4,2.5,2.9,0.7,0.8,0.1,1.2
Alex Abrines,15.5,6.0,2.0,5.0,1.4,3.6,0.6,0.7,0.3,1.0,1.3,0.6,0.5,0.1,1.7
Alex Len,20.3,8.0,3.0,6.0,0.0,0.2,1.9,2.7,2.0,4.6,6.6,0.6,1.3,1.3,3.1
Alex Poythress,26.1,10.7,4.2,9.0,1.0,3.2,1.3,1.7,1.8,3.0,4.8,0.8,0.5,0.3,2.3
Alexis Ajinca,15.0,5.3,2.3,4.6,0.0,0.1,0.7,1.0,1.2,3.4,4.5,0.3,0.8,0.6,2.0
Allen Crabbe,28.5,10.7,3.8,8.2,1.7,3.8,1.3,1.6,0.2,2.6,2.9,1.2,0.8,0.3,2.2
Alonzo Gee,6.9,0.8,0.2,1.1,0.0,0.2,0.4,0.7,0.3,0.8,1.2,0.5,0.3,0.1,1.1
Amir Johnson,20.1,6.5,2.7,4.6,0.3,0.8,0.8,1.3,1.5,3.1,4.6,1.8,1.0,0.8,2.6
Anderson Varejao,6.6,1.3,0.4,1.0,0.0,0.0,0.6,0.8,0.9,1.1,1.9,0.7,0.6,0.2,1.1
Andre Drummond,29.7,13.6,6.0,11.2,0.0,0.1,1.7,4.4,4.3,9.5,13.8,1.1,1.9,1.1,2.9
Andre Iguodala,26.3,7.6,2.9,5.5,0.8,2.3,0.9,1.3,0.7,3.3,4.0,3.4,0.8,0.5,1.3
Andre Roberson,30.1,6.6,2.7,5.9,0.6,2.3,0.6,1.4,1.2,3.9,5.1,1.0,0.6,1.0,2.6
Andrew Bogut,21.6,2.9,1.4,3.0,0.0,0.0,0.1,0.4,2.1,6.0,8.1,1.8,1.6,0.9,3.2
Andrew Harrison,20.5,5.9,1.6,5.0,0.6,2.2,2.1,2.7,0.3,1.6,1.9,2.8,1.2,0.3,2.7
Andrew Nicholson,9.0,2.6,1.1,2.9,0.1,0.7,0.2,0.4,0.4,1.2,1.6,0.3,0.4,0.2,1.4
Andrew Wiggins,37.2,23.6,8.6,19.1,1.3,3.5,5.0,6.6,1.2,2.8,4.0,2.3,2.3,0.4,2.2
Anthony Bennett,11.5,5.0,1.7,4.0,0.6,2.1,1.1,1.6,1.1,2.3,3.4,0.5,0.5,0.1,0.8
Anthony Brown,14.5,3.9,1.6,4.5,0.6,2.5,0.0,0.0,0.7,2.3,3.0,0.7,0.5,0.1,1.4
Anthony Davis,36.1,28.0,10.3,20.3,0.5,1.8,6.9,8.6,2.3,9.5,11.8,2.1,2.4,2.2,2.2
Anthony Morrow,14.6,5.5,2.0,5.1,0.8,2.7,0.7,0.8,0.2,0.4,0.6,0.5,0.1,0.0,0.9
Anthony Tolliver,22.7,7.1,2.4,5.4,1.4,3.5,0.9,1.3,0.8,2.9,3.6,1.2,0.9,0.3,1.7
Archie Goodwin,14.3,7.3,2.4,4.4,0.3,1.0,2.2,2.8,0.5,1.4,1.9,1.6,0.9,0.3,0.5
Arinze Onuaku,3.5,0.5,0.3,0.5,0.0,0.0,0.0,0.0,0.3,0.5,0.8,0.3,0.3,0.1,0.4
