Player,MIN,PTS,FGM,FGA,F3GM,F3GA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK
Tomas Satoransky,28.9,9.9,3.6,8.5,1.0,3.1,1.6,1.9,1.2,2.7,3.9,5.4,2.0,0.1,2.1
Tony Bradley,11.4,4.9,2.2,3.3,0.1,0.1,0.5,0.8,1.9,2.7,4.6,0.4,0.5,0.6,2.0
Tony Snell,27.8,8.0,2.9,6.5,1.7,4.3,0.5,0.5,0.2,1.7,1.9,2.2,0.5,0.3,1.7
Torrey Craig,18.5,5.4,2.1,4.6,0.8,2.4,0.4,0.6,1.1,2.2,3.3,0.8,0.4,0.6,2.3
Trae Young,35.3,29.6,9.1,20.8,3.4,9.5,8.0,9.3,0.5,3.7,4.3,9.3,4.8,0.1,1.7
Tremont Waters,10.8,3.6,1.3,4.5,0.4,2.2,0.7,0.7,0.0,1.1,1.1,1.5,1.4,0.2,1.2
Treveon Graham,16.9,4.4,1.6,4.4,0.6,2.2,0.7,1.0,0.9,1.8,2.7,0.8,0.5,0.1,1.9
Trevor Ariza,28.2,8.0,2.7,6.1,1.5,3.9,1.2,1.4,0.6,4.0,4.6,1.7,1.1,0.3,2.1
Trey Burke,15.8,7.4,2.8,6.3,1.0,2.3,0.7,0.9,0.5,1.0,1.5,2.5,0.6,0.1,1.0
Trey Lyles,20.2,6.4,2.4,5.4,1.0,2.7,0.5,0.7,1.1,4.6,5.7,1.1,0.6,0.4,1.6
Tristan Thompson,30.2,12.0,5.1,9.9,0.2,0.4,1.7,2.8,4.0,6.2,10.1,2.1,1.8,0.9,2.2
Troy Brown Jr.,25.8,10.4,4.0,9.0,0.9,2.6,1.6,2.0,1.1,4.4,5.6,2.6,1.1,0.1,1.9
Troy Daniels,11.3,4.3,1.5,4.0,1.0,2.8,0.2,0.3,0.3,0.9,1.1,0.4,0.3,0.1,0.8
Ty Jerome,10.6,3.3,1.2,3.6,0.5,1.6,0.4,0.5,0.2,1.3,1.5,1.4,0.6,0.1,0.9
Tyler Cook,4.2,1.8,0.6,0.9,0.0,0.0,0.5,0.6,0.5,0.6,1.1,0.1,0.2,0.0,0.4
Tyler Herro,27.4,13.5,4.9,11.5,2.1,5.4,1.6,1.8,0.3,3.8,4.1,2.2,1.6,0.2,1.4
Tyler Johnson,18.2,7.0,2.5,6.4,1.0,3.1,1.1,1.3,0.5,1.5,1.9,1.9,0.7,0.2,1.5
Tyler Zeller,1.9,1.0,0.5,2.0,0.0,0.0,0.0,0.0,1.5,0.5,2.0,0.0,0.0,0.0,0.0
Tyrone Wallace,11.5,2.9,1.0,3.1,0.1,1.1,0.8,1.2,0.2,1.4,1.6,0.9,0.7,0.1,1.4
Tyson Chandler,8.4,1.3,0.5,0.7,0.0,0.0,0.2,0.5,1.0,1.6,2.5,0.2,0.3,0.3,1.2
Tyus Jones,19.0,7.4,3.0,6.6,0.7,1.9,0.7,0.9,0.1,1.4,1.6,4.4,0.8,0.1,0.7
Udonis Haslem,11.0,3.0,1.0,2.8,0.3,0.8,0.8,1.0,0.3,3.8,4.0,0.3,0.3,0.0,1.5
Vic Law,7.7,1.9,0.8,2.3,0.1,0.9,0.3,0.8,0.3,1.1,1.4,0.4,0.3,0.0,0.8
Victor Oladipo,27.8,14.5,5.1,12.9,1.7,5.5,2.5,3.1,0.5,3.5,3.9,2.9,2.5,0.2,1.9
Vince Carter,14.6,5.0,1.8,5.1,1.0,3.4,0.4,0.5,0.3,1.8,2.1,0.8,0.6,0.4,1.5
Vincent Poirier,5.9,1.9,0.8,1.6,0.0,0.1,0.3,0.3,0.6,1.4,2.0,0.4,0.4,0.4,1.1
Vlatko Cancar,3.2,1.2,0.4,1.1,0.1,0.4,0.3,0.3,0.4,0.4,0.7,0.2,0.2,0.1,0.5
Wayne Ellington,15.5,5.1,1.7,4.8,1.4,4.0,0.3,0.4,0.1,1.7,1.8,1.2,0.5,0.1,1.1
Wendell Carter Jr.,29.2,11.3,4.3,8.0,0.1,0.7,2.6,3.5,3.2,6.2,9.4,1.2,1.7,0.8,3.8
Wenyen Gabriel,7.8,2.1,0.7,1.6,0.2,0.7,0.5,0.7,0.7,1.0,1.7,0.3,0.5,0.2,1.3
Wes Iwundu,18.3,5.8,1.9,4.5,0.5,1.6,1.5,1.9,0.5,2.1,2.5,1.2,0.5,0.3,1.5
Wesley Matthews,24.4,7.4,2.5,6.3,1.6,4.4,0.8,1.0,0.3,2.1,2.5,1.4,0.6,0.1,1.5
Will Barton,33.0,15.1,5.7,12.7,1.9,5.0,1.8,2.3,1.3,5.0,6.3,3.7,1.5,0.5,2.1
William Howard,6.6,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.0,0.5
Willie Cauley-Stein,20.3,7.2,3.2,5.6,0.0,0.0,0.7,1.2,1.6,4.3,5.8,1.3,0.7,1.1,2.2
Willy Hernangomez,12.1,6.1,2.4,4.5,0.2,0.7,1.2,1.9,1.4,2.9,4.3,0.9,1.0,0.2,1.0
Wilson Chandler,21.0,5.9,2.1,5.2,1.1,3.5,0.6,0.7,0.3,3.8,4.1,1.1,1.0,0.3,2.3
Yogi Ferrell,10.6,4.4,1.6,3.8,0.5,1.6,0.7,0.8,0.1,0.9,1.0,1.4,0.6,0.1,0.8
Yuta Watanabe,5.8,2.0,0.8,1.9,0.2,0.4,0.2,0.4,0.4,0.7,1.1,0.3,0.1,0.1,0.5
Zach Collins,26.4,7.0,2.9,6.2,0.6,1.7,0.5,0.7,2.3,4.0,6.3,1.5,1.3,0.5,3.3
Zach LaVine,34.8,25.5,9.0,20.0,3.1,8.1,4.5,5.6,0.7,4.1,4.8,4.2,3.4,0.5,2.2
Zach Norvell Jr.,8.2,2.0,0.6,2.4,0.6,1.6,0.2,0.2,0.0,1.2,1.2,0.6,0.6,0.0,0.8
Zhaire Smith,4.6,1.1,0.4,1.6,0.0,0.4,0.3,0.6,0.0,0.3,0.3,0.3,0.3,0.0,0.6
Zion Williamson,27.8,22.5,8.8,15.0,0.3,0.6,4.8,7.4,2.7,3.6,6.3,2.1,2.5,0.4,1.8
Zylan Cheatham,12.8,3.0,1.5,2.3,0.0,0.3,0.0,0.0,0.8,1.5,2.3,0.8,1.0,0.3,2.5
