id,Player,Seasons,Possessions,Rapm
458,Justin Holiday,2017-21,44140,0.97
88,Tony Allen,2017-21,8361,0.96
463,Julius Randle,2017-21,47555,0.96
740,Derrick Rose,2017-21,28721,0.96
123,Svi Mykhailiuk,2017-21,12483,0.95
681,Eric Gordon,2017-21,48866,0.95
760,Deandre Ayton,2017-21,28788,0.95
191,Richaun Holmes,2017-21,25186,0.94
235,Oshae Brissett,2017-21,2819,0.93
360,Malcolm Brogdon,2017-21,41458,0.93
712,Donte DiVincenzo,2017-21,17960,0.93
747,Dennis Schroder,2017-21,50780,0.93
751,DeMarre Carroll,2017-21,26705,0.93
660,Gary Harris,2017-21,41354,0.92
716,Domantas Sabonis,2017-21,41136,0.92
13,Yogi Ferrell,2017-21,20782,0.91
596,Jae'Sean Tate,2017-21,8487,0.9
719,Dion Waiters,2017-21,14641,0.9
823,Chris Chiozza,2017-21,3508,0.9
851,Buddy Hield,2017-21,45674,0.9
925,Amir Johnson,2017-21,15428,0.9
608,Ivica Zubac,2017-21,25593,0.89
422,Kevon Looney,2017-21,24233,0.88
945,Al-Farouq Aminu,2017-21,33191,0.88
421,Khem Birch,2017-21,16306,0.87
165,Ryan Broekhoff,2017-21,2590,0.86
508,John Konchar,2017-21,3104,0.86
520,Joe Harris,2017-21,45489,0.86
618,Isaiah Hartenstein,2017-21,4340,0.86
39,Vince Carter,2017-21,21704,0.85
666,Furkan Korkmaz,2017-21,16288,0.85
789,Daniel Gafford,2017-21,6841,0.85
824,Chris Boucher,2017-21,10477,0.85
197,Reggie Bullock,2017-21,28233,0.84
220,Paul Pierce,2017-21,1828,0.84
338,Mario Chalmers,2017-21,5722,0.84
881,Boban Marjanovic,2017-21,10370,0.84
256,Nicolas Claxton,2017-21,4244,0.83
483,Jordan Poole,2017-21,9379,0.81
242,OG Anunoby,2017-21,30978,0.8
499,Jonas Valanciunas,2017-21,39255,0.8
537,Jemerrio Jones,2017-21,590,0.8
607,J.J. Barea,2017-21,14240,0.79
162,Saddiq Bey,2017-21,7735,0.78
593,JaKarr Sampson,2017-21,5522,0.78
22,Willie Cauley-Stein,2017-21,31539,0.77
427,Kevin Huerter,2017-21,29277,0.77
108,Terrence Ross,2017-21,34542,0.76
172,Royce O'Neale,2017-21,37079,0.74
391,LaMelo Ball,2017-21,6133,0.74
700,Dwight Powell,2017-21,26855,0.74
742,Derrick Favors,2017-21,35521,0.74
87,Tony Bradley,2017-21,6175,0.73
810,Cody Zeller,2017-21,23810,0.72
277,Mychal Mulder,2017-21,4085,0.71
357,Malik Beasley,2017-21,23023,0.71
117,Taj Gibson,2017-21,36373,0.7
871,Brandan Wright,2017-21,3276,0.68
150,Serge Ibaka,2017-21,46411,0.66
743,Deron Williams,2017-21,8401,0.66
759,DeAndre Jordan,2017-21,40521,0.66
48,Tyrone Wallace,2017-21,7056,0.65
106,Thabo Sefolosha,2017-21,14362,0.65
552,Jason Terry,2017-21,9365,0.64
557,Jarrett Allen,2017-21,31867,0.63
590,Jalen Brunson,2017-21,18255,0.63
886,Ben Simmons,2017-21,48555,0.63
305,Michael Carter-Williams,2017-21,16023,0.62
506,John Wall,2017-21,32845,0.62
775,Darius Miller,2017-21,17595,0.62
921,Andre Ingram,2017-21,339,0.61
727,Devontae Cacok,2017-21,456,0.6
58,Tyler Ennis,2017-21,5167,0.59
215,Pierre Jackson,2017-21,335,0.59
472,Josh Okogie,2017-21,19055,0.59
732,Devin Harris,2017-21,13869,0.58
431,Kentavious Caldwell-Pope,2017-21,49732,0.56
669,Frank Ntilikina,2017-21,16589,0.56
322,Mason Plumlee,2017-21,34926,0.55
364,Luke Kornet,2017-21,8292,0.55
785,Daniel Theis,2017-21,24400,0.55
6,Zaza Pachulia,2017-21,14905,0.53
477,Josh Hart,2017-21,26400,0.53
497,Jonathan Isaac,2017-21,15239,0.53
189,RJ Barrett,2017-21,18225,0.51
52,Tyreke Evans,2017-21,15737,0.5
188,RJ Hunter,2017-21,314,0.5
139,Shawn Long,2017-21,958,0.49
416,Kira Lewis Jr.,2017-21,3752,0.49
597,Jae Crowder,2017-21,60565,0.49
675,Evan Fournier,2017-21,44513,0.49
4,Zhaire Smith,2017-21,649,0.48
177,Romeo Langford,2017-21,3900,0.48
311,Maxi Kleber,2017-21,27138,0.47
954,Aaron Jackson,2017-21,256,0.47
216,Payton Pritchard,2017-21,5627,0.46
559,Jarred Vanderbilt,2017-21,5357,0.46
589,Jalen Harris,2017-21,714,0.45
219,Paul Reed,2017-21,812,0.44
663,Garrett Temple,2017-21,36633,0.44
776,Darius Garland,2017-21,14618,0.44
943,Alan Williams,2017-21,3332,0.44
175,Rondae Hollis-Jefferson,2017-21,26769,0.43
709,Doug McDermott,2017-21,32147,0.43
844,Cameron Johnson,2017-21,14425,0.43
32,Wayne Ellington,2017-21,27290,0.42
780,Danuel House Jr.,2017-21,21105,0.42
166,Ryan Arcidiacono,2017-21,14761,0.41
176,Ron Baker,2017-21,5497,0.41
212,Quincy Acy,2017-21,8320,0.41
441,Keldon Johnson,2017-21,9304,0.41
923,Andre Drummond,2017-21,44860,0.41
241,Okaro White,2017-21,2165,0.4
388,Landry Shamet,2017-21,24404,0.4
545,Jaylen Brown,2017-21,51626,0.4
161,Salah Mejri,2017-21,7802,0.39
778,Dario Saric,2017-21,40720,0.39
462,Julyan Stone,2017-21,716,0.38
753,DeMar DeRozan,2017-21,57032,0.38
779,DaQuan Jeffries,2017-21,2681,0.37
817,Chuma Okeke,2017-21,4620,0.37
941,Alec Peters,2017-21,916,0.37
