Player,MIN,PTS,FGM,FGA,F3GM,F3GA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK
Aaron Gordon,27.7,12.4,4.6,10.0,1.2,3.5,1.9,3.0,1.5,4.1,5.7,3.2,1.9,0.7,1.8
Aaron Holiday,17.8,7.2,2.6,6.6,1.0,2.8,1.0,1.3,0.2,1.1,1.3,1.9,1.0,0.2,1.4
Aaron Nesmith,14.5,4.7,1.7,3.9,0.9,2.3,0.5,0.6,0.6,2.2,2.8,0.5,0.5,0.2,1.9
Abdel Nader,14.8,6.7,2.4,4.8,0.8,1.8,1.2,1.5,0.3,2.3,2.6,0.8,0.8,0.4,1.4
Adam Mokoka,4.0,1.1,0.5,1.4,0.1,0.7,0.0,0.1,0.1,0.3,0.4,0.4,0.4,0.1,0.4
Al Horford,27.9,14.2,5.8,12.9,2.0,5.4,0.6,0.8,1.0,5.7,6.7,3.4,1.0,0.9,1.7
Al-Farouq Aminu,18.9,4.4,1.7,4.3,0.3,1.6,0.8,1.0,1.0,3.8,4.8,1.3,1.2,0.4,1.3
Alec Burks,25.6,12.7,4.3,10.2,2.1,5.0,2.1,2.4,0.4,4.2,4.6,2.2,1.0,0.3,2.1
Aleksej Pokusevski,24.2,8.2,3.1,9.1,1.3,4.6,0.7,0.9,0.7,4.0,4.7,2.2,2.2,0.9,1.3
Alen Smailagic,5.6,1.9,0.7,1.8,0.3,0.7,0.1,0.4,0.4,0.7,1.1,0.3,0.3,0.3,0.7
Alex Caruso,21.0,6.4,2.3,5.3,0.9,2.4,0.8,1.3,0.5,2.4,2.9,2.8,1.3,0.3,1.9
Alex Len,15.3,6.6,2.7,4.3,0.1,0.4,1.1,1.8,1.2,2.8,4.1,0.8,0.9,1.0,2.0
Alfonzo McKinnie,6.6,3.1,1.2,2.4,0.4,1.0,0.3,0.5,0.6,0.8,1.4,0.2,0.1,0.0,0.7
Alize Johnson,10.5,5.2,2.2,3.8,0.1,0.3,0.7,0.7,1.5,3.5,5.0,0.8,0.5,0.3,0.9
Amida Brimah,5.9,2.6,1.0,1.6,0.0,0.0,0.6,0.6,0.4,1.2,1.6,0.2,0.8,1.0,0.8
Amir Coffey,9.0,3.2,1.0,2.3,0.5,1.3,0.6,0.9,0.2,0.8,1.0,0.5,0.3,0.0,0.7
Anderson Varejao,7.2,2.6,0.8,3.2,0.0,0.2,1.0,1.8,1.4,2.6,4.0,0.6,0.2,0.4,0.6
Andre Drummond,27.0,14.9,6.1,12.4,0.0,0.2,2.7,4.5,3.6,8.4,12.0,2.0,2.7,1.1,3.2
Andre Iguodala,21.3,4.4,1.5,3.9,1.0,2.9,0.4,0.6,0.6,2.9,3.5,2.3,1.1,0.6,1.4
Andre Roberson,12.6,1.2,0.4,2.8,0.2,1.6,0.2,0.4,1.4,1.6,3.0,0.8,0.4,0.2,0.8
Andrew Wiggins,33.3,18.6,7.1,14.9,2.0,5.2,2.4,3.4,1.2,3.7,4.9,2.4,1.8,1.0,2.2
Anfernee Simons,17.3,7.8,2.6,6.3,1.9,4.4,0.7,0.9,0.2,2.0,2.2,1.4,0.7,0.1,1.5
Anthony Davis,32.3,21.8,8.4,17.0,0.7,2.8,4.4,5.9,1.7,6.2,7.9,3.1,2.1,1.6,1.7
Anthony Edwards,32.1,19.3,7.0,16.8,2.4,7.2,2.9,3.8,0.8,3.8,4.7,2.9,2.2,0.5,1.8
Anthony Gill,8.4,3.1,1.2,2.3,0.3,0.9,0.5,0.6,0.6,1.3,2.0,0.4,0.3,0.2,1.0
Anthony Lamb,17.3,5.5,1.9,4.9,1.0,3.0,0.8,0.9,1.1,1.8,2.9,1.0,0.8,0.2,1.4
Anthony Tolliver,9.0,1.5,0.4,1.5,0.4,1.3,0.5,0.5,0.3,0.6,0.9,0.2,0.3,0.2,0.6
Anzejs Pasecniks,6.3,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,0.0,2.0
Armoni Brooks,26.0,11.2,3.9,9.6,3.0,7.9,0.4,0.6,0.5,2.9,3.4,1.5,1.1,0.3,1.7
Aron Baynes,18.5,6.1,2.5,5.7,0.5,1.9,0.5,0.8,1.6,3.5,5.2,0.9,0.9,0.4,2.2
Ashton Hagans,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
Austin Rivers,23.5,7.9,2.9,6.8,1.5,4.1,0.6,0.9,0.2,2.1,2.3,2.3,1.0,0.1,1.8
Avery Bradley,22.3,6.4,2.4,6.3,1.2,3.7,0.4,0.6,0.3,1.8,2.1,1.7,1.0,0.1,2.0
Axel Toupane,7.7,1.8,0.5,1.4,0.1,0.3,0.6,0.9,0.0,0.8,0.8,0.5,0.0,0.4,0.8
Bam Adebayo,33.5,18.7,7.1,12.5,0.0,0.1,4.4,5.5,2.2,6.7,9.0,5.4,2.6,1.0,2.3
Ben McLemore,17.1,7.7,2.5,6.9,1.8,5.3,0.7,1.0,0.3,1.6,1.9,0.7,0.8,0.2,1.7
Ben Simmons,32.4,14.3,5.6,10.1,0.1,0.2,3.0,4.9,1.6,5.6,7.2,6.9,3.0,0.6,2.9
Bismack Biyombo,20.4,5.0,2.2,3.7,0.0,0.0,0.7,1.6,2.1,3.2,5.3,1.2,1.1,1.1,2.1
