Player,MIN,PTS,FGM,FGA,F3GM,F3GA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK
Aaron Brooks,5.9,2.3,0.9,2.2,0.3,1.0,0.3,0.3,0.2,0.3,0.5,0.6,0.3,0.0,0.9
Aaron Gordon,32.9,17.6,6.5,14.9,2.0,5.9,2.7,3.9,1.5,6.4,7.9,2.3,1.8,0.8,1.9
Aaron Harrison,25.9,6.7,2.1,7.7,1.0,4.8,1.4,1.9,0.4,2.2,2.7,1.2,0.3,0.2,3.0
Aaron Jackson,34.5,8.0,3.0,9.0,1.0,4.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,0.0,4.0
Abdel Nader,10.9,3.0,1.0,3.1,0.5,1.4,0.5,0.8,0.3,1.2,1.5,0.5,0.7,0.2,0.9
Adreian Payne,8.5,4.2,1.4,2.0,0.4,0.6,1.0,1.2,0.4,1.4,1.8,0.0,0.4,0.0,1.2
Al Horford,31.6,12.9,5.1,10.5,1.3,3.1,1.3,1.7,1.4,5.9,7.4,4.7,1.8,1.1,1.9
Al Jefferson,13.4,7.0,3.1,5.8,0.0,0.1,0.8,1.0,0.8,3.1,4.0,0.8,0.6,0.6,1.8
Al-Farouq Aminu,30.0,9.3,3.3,8.4,1.8,4.9,0.9,1.2,1.4,6.2,7.6,1.2,1.1,0.6,2.0
Alan Williams,14.1,4.0,1.4,3.6,0.0,0.0,1.2,1.8,0.6,3.8,4.4,1.6,1.4,0.2,2.6
Alec Burks,16.5,7.7,2.7,6.5,0.7,2.2,1.7,1.9,0.3,2.7,3.0,1.0,0.9,0.1,1.2
Alec Peters,11.2,4.1,1.4,3.7,0.9,2.9,0.4,0.5,0.4,1.5,1.9,0.6,0.2,0.1,0.7
Alex Abrines,15.1,4.7,1.5,3.9,1.1,2.9,0.5,0.6,0.3,1.2,1.5,0.4,0.3,0.1,1.7
Alex Caruso,15.2,3.6,1.4,3.1,0.4,1.2,0.6,0.8,0.4,1.4,1.8,2.0,1.1,0.3,1.4
Alex Len,20.2,8.5,3.1,5.5,0.0,0.0,2.3,3.3,2.5,5.0,7.5,1.2,1.1,0.9,2.3
Alex Poythress,4.2,1.0,0.4,1.0,0.2,0.4,0.0,0.0,0.3,0.4,0.7,0.1,0.1,0.0,0.6
